id,name_en,name_uk,farm_name,country_en,country_uk,specialization_en,specialization_uk,bio_uk,image_url_farm,image_url_processing
1,Wilton Benitez,Вілтон Бенітез,Granja Paraíso 92,Colombia,Колумбія,"Thermal Shock, Bioreactor Fermentation, Ozone Sterilization","Термальний шок, ферментація в біореакторах, озонова стерилізація","Хімік-технолог, який перетворив ферму на лабораторію. Використовує сталеві біореактори, додає специфічні штами дріжджів (як у крафтовому пиві) і використовує термальний шок (гаряча/холодна вода) для 'запечатування' смаку.",https://placehold.co/600x400/2c3e50/ffffff?text=Granja+Paraiso+92,https://placehold.co/600x400/8e44ad/ffffff?text=Bioreactor+Tanks
2,Oscar & Francisca Chacón,Оскар та Франциска Чакон,Micromill Las Lajas,Costa Rica,Коста-Рика,"Black Diamond, Perla Negra, Honey Process","Black Diamond, Perla Negra, Хані обробки","Піонери натуральної обробки в Коста-Риці. Створюють екстремально солодкі лоти. Perla Negra (чорна перлина) сушиться під плівкою вночі, а Black Diamond проходить надповільну ферментацію при низьких температурах.",https://placehold.co/600x400/27ae60/ffffff?text=Las+Lajas+Costa+Rica,https://placehold.co/600x400/c0392b/ffffff?text=Black+Diamond+Drying
3,Diego Samuel Bermúdez,Дієго Самуель Бермудес,Finca El Paraiso,Colombia,Колумбія,"Double Anaerobic Fermentation, Eco-Enigma Drying","Подвійна анаеробна ферментація, Еко-Енігма сушіння","Відомий своїм лотом 'Red Plum'. Використовує подвійну анаеробну ферментацію (спочатку в ягоді, потім у клейковині) з додаванням власних лактобактерій. Сушить каву в закритих машинах для повного контролю.",https://placehold.co/600x400/16a085/ffffff?text=Finca+El+Paraiso,https://placehold.co/600x400/d35400/ffffff?text=Anaerobic+Tanks
4,Jamison Savage,Джеймісон Севідж,Finca Deborah,Panama,Панама,"Carbonic Maceration, Geisha cultivation","Вуглекислотна мацерація, вирощування Гейші","Ферма на екстремальній висоті (понад 1900 м) у хмарному лісі. Джеймісон першим застосував винну технологію вуглекислотної мацерації (CO2) до кави сорту Гейша, створюючи іскристі профілі, що нагадують шампанське.",https://placehold.co/600x400/2980b9/ffffff?text=Finca+Deborah+Panama,https://placehold.co/600x400/34495e/ffffff?text=Carbonic+Maceration+Tanks
5,Carlos & Felipe Arcila,Карлос та Феліпе Арсіла,Jardines del Eden / Cofinet,Colombia,Колумбія,"Fruit Co-fermentation, Ice Fermentation","Фруктова ко-ферментація, крижана ферментація","Брати-інноватори, які шокували індустрію інфузіями. Вони додають справжні фрукти (персик, полуницю, маракую) та винні дріжджі прямо в танки під час анаеробної ферментації, створюючи каву з вибуховим фруктовим смаком.",https://placehold.co/600x400/f39c12/ffffff?text=Jardines+del+Eden,https://placehold.co/600x400/e74c3c/ffffff?text=Fruit+Co-fermentation
6,Aida Batlle,Аїда Батлл,Finca Kilimanjaro,El Salvador,Сальвадор,"Cascara pioneer, Kenyan washed style","Піонерка каскари, мита обробка в кенійському стилі",Королева спешелті в Сальвадорі. Вона першою почала використовувати кенійський метод подвійної ферментації в Центральній Америці та зробила популярним напій з кавової вишні — 'каскару'.,https://placehold.co/600x400/8e44ad/ffffff?text=Finca+Kilimanjaro,https://placehold.co/600x400/f1c40f/ffffff?text=Cascara+Drying
7,Adam Overton & Rachel Samuel,Адам Овертон та Рейчел Семюел,Gesha Village,Ethiopia,Ефіопія,"Gori Gesha preservation, Honey process","Збереження сорту Gori Gesha, Хані обробка","Відправилися в експедицію до лісів Горі Геша (батьківщини знаменитого сорту), зібрали там дике насіння і створили культову ферму. Їхні лоти — це еталон того, якою має бути справжня ефіопська Гейша.",https://placehold.co/600x400/27ae60/ffffff?text=Gesha+Village+Ethiopia,https://placehold.co/600x400/e67e22/ffffff?text=African+Drying+Beds
8,Pepe Jijón,Пепе Хіхон,Finca Soledad,Ecuador,Еквадор,"Wave Fermentation, Biodynamic farming","Хвильова ферментація (Wave), біодинамічне землеробство","Колишній альпініст, який вирощує каву серед хмар Анд. Винайшов 'Хвильову ферментацію', де температурні профілі змінюються циклами. Його ферма працює за принципами біодинаміки (гармонія з циклами природи).",https://placehold.co/600x400/34495e/ffffff?text=Finca+Soledad+Ecuador,https://placehold.co/600x400/95a5a6/ffffff?text=Wave+Fermentation
9,Alejo Castro,Алехо Кастро,Volcan Azul,Costa Rica,Коста-Рика,"Rare varietal preservation, Anaerobic Natural","Збереження рідкісних сортів, Анаеробна натуральна",Представник 5-го покоління фермерів. Зібрав на своїй фермі сотні найрідкісніших сортів кави у світі. Його місія — збереження тропічних лісів (купує ліси за рахунок продажу кави). Робить одні з найкращих анаеробних лотів.,https://placehold.co/600x400/1abc9c/ffffff?text=Volcan+Azul,https://placehold.co/600x400/2c3e50/ffffff?text=Anaerobic+Natural+Drying
10,Luis Norberto Pascoal,Луїс Норберто Паскоаль,Daterra,Brazil,Бразилія,"Masterpieces (Aero, Anaerobic), B-Corp Sustainability","Masterpieces (Аеро, Анаеробні), B-Corp екологічність","Daterra — це гігант інновацій і перша у світі кавова ферма з сертифікатом B-Corp. Їхня лабораторія створює лоти серії 'Masterpieces' — це унікальні експерименти з мацерацією, які продаються на закритих аукціонах за шалені гроші.",https://placehold.co/600x400/f1c40f/ffffff?text=Daterra+Brazil,https://placehold.co/600x400/7f8c8d/ffffff?text=Daterra+Laboratory
