Name,Variety,Process,Flavor Notes,Acidity,Sweetness,Bitterness,Price_250g,Wholesale_1kg
КОЛУМБІЯ 49 ФІЛЬТР,ЯВА,АНАЕРОБНА Х МИТА,"Жасмин, бузина, алича",5,5,1,555,475
КОЛУМБІЯ 50 ФІЛЬТР,ВАШІ ВАШІ,НАТУРАЛЬНА,"Вишня, апельсин, бархатисте тіло",5,5,1,650,570
КОЛУМБІЯ 48 ФІЛЬТР,РОЖЕВИЙ БУРБОН,НАТУРАЛЬНА,"Шовковиця, льодяник",4,4,1,555,475
КОЛУМБІЯ 47 ФІЛЬТР,"КАТУРРА, КАТУАЇ",НАТУРАЛЬНА,"Яблуко, ківі, какао",5,4,2,390,310
КОЛУМБІЯ 46 ФІЛЬТР,"КАТУРРА, КАСТІЛЬО",НАТУРАЛЬНА,"Груша, марципан, ягоди",5,5,1,405,325
КОЛУМБІЯ 31 ФІЛЬТР,ЧІРОСО,ТЕРМАЛ ШОК,"Жасмин, ківі, лохина",5,5,1,485,405
КОЛУМБІЯ 45 ФІЛЬТР,ЧЕРВОНИЙ БУРБОН,ТЕРМАЛ ШОК,"Квіти, грейпфрут",4,5,1,420,340
КЕНІЯ 20 ФІЛЬТР,"SL 28, SL 34",МИТА,"Кеш'ю, мед, ягоди",4,3,2,340,260
РУАНДА 14 ФІЛЬТР,БУРБОН,НАТУРАЛЬНА,"Апельсин, кісточкові фрукти",4,4,1,370,290
ІНДОНЕЗІЯ 4 ФІЛЬТР,"С-ЛЕНІ, БОРБОР",АНАЕРОБНА НАТУРАЛЬНА,"Алкоголь, стиглі фрукти",5,5,2,465,385
РУАНДА 4 ФІЛЬТР,БЮРБОН,АНАЕРОБНА НАТУРАЛЬНА,"Полуниця, цитруси, тропіки",5,5,1,390,310
РУАНДА 13 ФІЛЬТР,БУРБОН,МИТА,"Червоні ягоди, молоко",4,4,2,340,260
КОЛУМБІЯ 9 ФІЛЬТР,"КАСТІЛЬО, КАТУРРА",НАТУРАЛЬНА,"Маракуйя, апельсин, ожина",5,5,1,530,450
КОСТА-РІКА 12 ФІЛЬТР,ГЕЙША,НАТУРАЛЬНА,"Кориця, яблуко, виноград",4,5,1,570,490
ІНДОНЕЗІЯ 5 ФІЛЬТР,"ТЕРРІ, КРОС",АНАЕРОБНА НАТУРАЛЬНА,"Тропіки, червоне вино",4,5,2,435,355
ЕФІОПІЯ 8 ФІЛЬТР,"КУРУМЕ, ХЕРУМ",МИТА,"Жасмин, абрикос, ягоди",5,3,1,380,300
КОЛУМБІЯ БЕЗ КОФЕЇНУ 2,БУРБОН,ТЕРМАЛ ШОК,"Мандарин, яблуко, квіти",4,5,1,365,285
КОЛУМБІЯ 44 ФІЛЬТР,SL 28,ТЕРМАЛ ШОК,"Персик, темний виноград, пломбір",5,5,1,705,625
КОСТА-РІКА 9 ФІЛЬТР,ВІЛЛА САРЧІ,АЛЬМА НЕГРА,"Яблуко, мандарин, чай",4,5,1,490,410
ЕФІОПІЯ 37 ФІЛЬТР,"ХЕРУМ, КУРУМЕ",АНАЕРОБНА НАТУРАЛЬНА,"Персик, жасмин, яблуко",5,5,1,420,340
КЕНІЯ 10 ФІЛЬТР,"SL 28, SL 34",МИТА,"Кизил, зелене яблуко, мед",5,5,1,385,305
БЛЕНД 2 ФІЛЬТР (BB 2),"КАТУРРА + КЕНІЯ",АНАЕРОБНА Х МИТА,"Смородина, тропіки, вершки",4,5,1,345,265
ЕФІОПІЯ 28 ФІЛЬТР,"КУРУМЕ, ХЕРУМ, АДОРСІ",МИТА,"Жасмин, чорний чай",3,3,1,328,248
КОЛУМБІЯ 37 ФІЛЬТР,"КАТУРРА, БУРБОН",НАТУРАЛЬНА,"Червоне яблуко, виноград, ром",4,5,1,370,290
КОЛУМБІЯ БЕЗ КОФЕЇНУ 1,"КАТУРРА, КАСТІЛЬО",МИТА,"Карамель, яблуко, какао",4,5,1,335,255
КОЛУМБІЯ 4 ФІЛЬТР,"ТАБІ, КАТУРРА",МИТА,"Яблуко, цитруси, карамель",4,5,1,340,260
